,age,workclass,education,marital-status,race,gender,capital-gain,capital-loss,hours-per-week,income
0,49.21630650758743,Self-emp-not-inc,Assoc-voc,Widowed,White,Male,12285.081036508083,4356.0,41.4143895059824,1
1,41.27637076377869,Private,Assoc-voc,Widowed,White,Female,12285.005228161812,4356.0,12.471518397331238,0
2,62.814248979091644,Private,10th,Widowed,White,Male,12286.335795342922,4356.0,21.545546174049377,0
3,62.140262961387634,Self-emp-not-inc,10th,Married-civ-spouse,White,Male,12285.010456323624,4356.0,33.477203607559204,1
4,62.97776770591736,Private,Assoc-voc,Widowed,White,Male,12285.413024783134,4356.0,43.502070903778076,1
5,43.09397292137146,Private,Assoc-voc,Widowed,White,Male,12285.075808346272,4356.0,28.40146243572235,0
6,61.767911195755005,Private,Assoc-voc,Widowed,White,Female,12285.167301177979,4356.0,9.595961928367615,0
7,41.25104212760925,Private,Bachelors,Married-civ-spouse,White,Male,12285.235267281532,4356.0,28.659513026475906,0
8,40.4898236989975,Private,Assoc-voc,Widowed,White,Male,12285.018298566341,4356.0,25.831091105937958,0
9,66.15009784698486,Private,Assoc-voc,Widowed,White,Male,12285.094106912613,4356.0,23.370322167873383,0
10,58.738098084926605,Private,Assoc-voc,Widowed,White,Female,12285.067966103554,4356.0,25.842490315437317,0
11,68.80296564102173,Private,Assoc-voc,Widowed,White,Female,12285.041825294495,4356.0,16.870526790618896,0
12,62.85600399971008,Self-emp-not-inc,Assoc-voc,Widowed,White,Male,12285.010456323624,4356.0,36.6988719701767,1
13,66.0957487821579,Private,Assoc-voc,Widowed,White,Male,12285.02614080906,4356.0,36.0242318212986,1
14,61.559170961380005,Self-emp-not-inc,Bachelors,Married-civ-spouse,White,Male,12285.010456323624,4356.0,31.726230412721634,1
15,31.196712970733643,Self-emp-not-inc,Assoc-voc,Widowed,White,Male,12285.067966103554,4356.0,61.15660537779331,1
16,54.58134399354458,Private,Assoc-voc,Widowed,White,Male,12285.24310952425,4356.0,18.314131677150726,0
17,71.408358335495,Self-emp-not-inc,10th,Widowed,White,Male,12285.0,4356.0,44.00915099680424,0
18,68.05106198787689,Private,Assoc-voc,Widowed,White,Male,12285.018298566341,4356.0,23.114139318466187,1
19,78.5150191783905,Private,Bachelors,Married-civ-spouse,White,Male,12285.02614080906,4356.0,11.586179792881012,1
20,60.97357016801834,Self-emp-not-inc,Assoc-voc,Widowed,White,Male,12285.789452433586,4356.0,20.701087594032288,0
21,31.82453227043152,Private,Assoc-voc,Widowed,White,Male,12285.577711880207,4356.0,36.498343139886856,1
22,65.81305682659149,Private,Assoc-voc,Widowed,White,Female,12285.01307040453,4356.0,27.962991535663605,1
23,54.12119568977505,Self-emp-not-inc,Assoc-voc,Widowed,White,Male,12285.211740553379,4356.0,23.94430434703827,0
24,74.59529900550842,Private,Assoc-voc,Widowed,White,Female,12285.005228161812,4356.0,11.702759563922882,0
25,33.88475847244263,Private,Assoc-voc,Widowed,White,Male,12285.580325961113,4356.0,31.646341025829315,1
26,78.28656363487244,Private,Assoc-voc,Widowed,White,Male,12285.107177317142,4356.0,12.28536343574524,0
27,46.44054526090622,Self-emp-not-inc,Assoc-voc,Widowed,White,Male,12285.010456323624,4356.0,39.09400199353695,1
28,69.77292430400848,Private,Assoc-voc,Widowed,White,Male,12285.253565847874,4356.0,31.385853171348572,1
29,58.93588846921921,Private,Bachelors,Widowed,White,Male,12285.14116036892,4356.0,54.54360464960337,1
30,61.1669944524765,Private,Assoc-voc,Widowed,White,Female,12285.423481106758,4356.0,33.43211787939072,0
31,60.722450494766235,Private,Bachelors,Widowed,White,Male,12285.015684485435,4356.0,35.41488230228424,0
32,54.190637301653624,Private,Assoc-voc,Widowed,White,Male,12285.088878750801,4356.0,5.1334328055381775,0
33,45.36901295185089,Private,Assoc-voc,Widowed,White,Male,12285.088878750801,4356.0,21.723070681095123,0
34,58.63732320070267,Self-emp-not-inc,Assoc-voc,Widowed,White,Male,12285.253565847874,4356.0,18.25215595960617,1
35,75.40232849121094,Private,Assoc-voc,Widowed,White,Female,12285.02614080906,4356.0,13.731103301048279,0
36,61.76273936033249,Private,Assoc-voc,Widowed,White,Male,12285.005228161812,4356.0,33.0302030146122,1
37,69.9290760755539,Private,Assoc-voc,Widowed,White,Male,12285.028754889965,4356.0,12.42727380990982,0
38,58.09614676237106,Private,Assoc-voc,Widowed,White,Male,12285.052281618118,4356.0,20.475215017795563,0
39,73.57862162590027,Self-emp-not-inc,Bachelors,Married-civ-spouse,White,Male,12285.062737941742,4356.0,18.965948581695557,1
40,56.49650681018829,Private,Assoc-voc,Widowed,White,Male,12285.460078239441,4356.0,22.71696901321411,0
41,23.234946727752686,Private,Assoc-voc,Widowed,White,Male,12285.049667537212,4356.0,33.60225757956505,0
42,38.02265703678131,Private,Assoc-voc,Widowed,White,Male,12285.146388530731,4356.0,17.63156932592392,1
43,75.93435859680176,Private,Assoc-voc,Widowed,White,Male,12285.0,4356.0,49.7199981091544,1
44,59.84296488761902,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,White,Male,12285.023526728153,4356.0,23.08622395992279,0
45,78.05314064025879,Private,Assoc-voc,Widowed,White,Female,12285.104563236237,4356.0,12.884416282176971,0
46,54.252553733065724,Private,Assoc-voc,Widowed,White,Male,12285.271864414215,4356.0,27.189429730176926,0
47,45.98412984609604,Private,Assoc-voc,Widowed,White,Female,12285.062737941742,4356.0,10.220374584197998,0
48,65.54661476612091,Self-emp-not-inc,Assoc-voc,Widowed,White,Male,12285.020912647247,4356.0,40.82632990181446,1
49,72.65143775939941,Self-emp-not-inc,Bachelors,Widowed,White,Male,12285.052281618118,4356.0,44.512186750769615,1
50,38.29810702800751,Private,Assoc-voc,Widowed,White,Male,12285.376427650452,4356.0,45.63198348134756,0
